"Team","Odds","X","W.L.O.U","Result","Point.Differential","wins","losses","proj_wins","proj_losses","conf","games_played","playoffs","1 seed","2 seed","3 seed","4 seed","5 seed","6 seed","7 seed","8 seed","9 seed","10 seed","11 seed","12 seed","13 seed","14 seed","15 seed"
"Atlanta Hawks",25000,NA,33.5,"2-3 (under)",-7.97014925373134,20,47,24.1872171994478,56.8127828005522,"E",67,2e-05,0,0,0,0,0,0,0,2e-05,0.01526,0.04176,0.07784,0.13146,0.201,0.28444,0.24822
"Boston Celtics",2900,NA,48.5,"4-1 (under)",6.171875,43,21,53.3058931840706,25.6941068159294,"E",64,1,1e-04,0.1017,0.7075,0.14088,0.04058,0.00924,0,0,0,0,0,0,0,0,0
"Brooklyn Nets",5500,NA,43.5,"2-4 (under)",-0.640625,30,34,37.0886495120182,41.9113504879818,"E",64,0.99316,0,0,0,0,0,0.00044,0.4752,0.51752,0.00654,0.00024,6e-05,0,0,0,0
"Charlotte Hornets",200000,NA,23.5,"3-3 (under)",-6.75384615384615,23,42,27.7266355416559,52.2733644583441,"E",65,0.00248,0,0,0,0,0,0,0.00016,0.00232,0.2454,0.26882,0.19724,0.13714,0.08746,0.04564,0.01582
"Chicago Bulls",42500,NA,33.5,"2-4 (under)",-3.07692307692308,22,43,26.8445362471684,52.1554637528316,"E",65,0.00076,0,0,0,0,0,0,0,0.00076,0.13628,0.2005,0.22046,0.1863,0.13606,0.08516,0.03448
"Cleveland Cavaliers",150000,NA,24.5,"2-3 (under)",-7.89230769230769,19,46,22.8480894129989,57.1519105870011,"E",65,0,0,0,0,0,0,0,0,0,0.00386,0.0128,0.03148,0.06358,0.12084,0.24236,0.52508
"Detroit Pistons",25000,NA,37.5,"3-4 (under)",-3.56060606060606,20,46,25.5825042359273,55.4174957640727,"E",66,2e-04,0,0,0,0,0,0,2e-05,0.00018,0.0534,0.10712,0.15718,0.20012,0.21366,0.17442,0.0939
"Indiana Pacers",5000,NA,46.5,"2-3 (under)",1.93846153846154,39,26,48.089163102015,32.910836897985,"E",65,1,0,0.00078,0.03138,0.18146,0.31464,0.47112,6e-04,2e-05,0,0,0,0,0,0,0
"Miami Heat",6000,NA,43.5,"4-1 (under)",3.23076923076923,41,24,49.7526326676301,30.2473673323699,"E",65,1,0,0.0053,0.10748,0.4133,0.29236,0.18154,2e-05,0,0,0,0,0,0,0,0
"Milwaukee Bucks",550,NA,57.5,"4-2 (under)",11.2923076923077,53,12,64.962602189902,15.037397810098,"E",65,1,0.99278,0.00718,4e-05,0,0,0,0,0,0,0,0,0,0,0,0
"New York Knicks",100000,NA,26.5,"1-5 (under)",-6.45454545454545,21,45,25.8608765168194,55.1391234831806,"E",66,0.00028,0,0,0,0,0,0,2e-05,0.00026,0.06646,0.12416,0.1767,0.20362,0.1999,0.15084,0.07804
"Orlando Magic",20000,NA,41.5,"2-4 (under)",-0.969230769230769,30,35,37.280628091893,42.719371908107,"E",65,0.9946,0,0,0,0,0,0.00042,0.52336,0.47082,0.00518,0.00022,0,0,0,0,0
"Philadelphia 76ers",775,NA,54.5,"5-0 (under)",2.21538461538462,39,26,48.7354938457914,32.2645061542086,"E",65,1,0,0.00204,0.05134,0.25744,0.3518,0.33716,0.00022,0,0,0,0,0,0,0,0
"Toronto Raptors",5500,NA,46.5,"4-2 (under)",6.453125,46,18,57.2811675875021,23.7188324124979,"E",64,1,0.00712,0.883,0.10226,0.00692,0.00062,8e-05,0,0,0,0,0,0,0,0,0
"Washington Wizards",125000,NA,27,"1-4 (under)",-4.046875,24,40,28.873480193435,51.126519806565,"E",64,0.0085,0,0,0,0,0,0,4e-04,0.0081,0.46762,0.24438,0.13904,0.07778,0.04108,0.01714,0.00446
