"Team","Odds","X","W.L.O.U","Result","Point.Differential","wins","losses","proj_wins","proj_losses","conf","games_played","playoffs","1 seed","2 seed","3 seed","4 seed","5 seed","6 seed","7 seed","8 seed","9 seed","10 seed","11 seed","12 seed","13 seed","14 seed","15 seed"
"Dallas Mavericks",10500,NA,40.5,"3-2 (under)",6.04477611940298,40,27,48.8508701838776,32.1491298161224,"W",67,1,2e-05,0.01132,0.08742,0.15662,0.21148,0.25796,0.27468,5e-04,0,0,0,0,0,0,0
"Denver Nuggets",2000,NA,53,"4-2 (under)",2.95384615384615,43,22,51.5044297309353,28.4955702690647,"W",65,1,0.00036,0.09694,0.40046,0.23644,0.14244,0.08246,0.0409,0,0,0,0,0,0,0,0
"Golden State Warriors",950,NA,47.5,"1-5 (under)",-8.70769230769231,15,50,18.7359916555874,61.2640083444126,"W",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02882,0.97118
"Houston Rockets",700,NA,54,"3-2 (under)",3.75,40,24,49.8892434736246,30.1107565263754,"W",64,1,8e-05,0.02774,0.17354,0.23498,0.22666,0.19378,0.14316,6e-05,0,0,0,0,0,0,0
"Los Angeles Clippers",425,NA,53.5,"4-2 (under)",6.515625,44,20,55.3286101169687,24.6713898830313,"W",64,1,0.02394,0.80958,0.1218,0.0313,0.0098,0.0029,0.00068,0,0,0,0,0,0,0,0
"Los Angeles Lakers",450,NA,50.5,"4-1 (under)",7.41269841269841,49,14,61.5966146710325,18.4033853289675,"W",63,1,0.97558,0.02398,0.00044,0,0,0,0,0,0,0,0,0,0,0,0
"Memphis Grizzlies",100000,NA,27.5,"1-4 (under)",-1.07692307692308,32,33,37.7687470607577,42.2312529392423,"W",65,0.40226,0,0,0,0,0,0,0.00062,0.40164,0.27726,0.16106,0.09514,0.0473,0.01698,0,0
"Minnesota Timberwolves",50000,NA,35.5,"4-1 (under)",-4.296875,19,45,24.7473338787595,55.2526661212405,"W",64,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0.0062,0.9648,0.02882
"New Orleans Pelicans",12500,NA,37.5,"1-5 (under)",1,28,36,37.6255841731621,41.3744158268379,"W",64,0.3662,0,0,0,0,2e-05,0,0.00066,0.36552,0.28642,0.17136,0.10188,0.05578,0.01836,0,0
"Oklahoma City Thunder",25000,NA,32.5,"2-4 (under)",2.453125,40,24,48.3309571828129,30.6690428171871,"W",64,0.99998,0,0.00654,0.06044,0.11806,0.1807,0.25462,0.37904,0.00058,2e-05,0,0,0,0,0,0
"Phoenix Suns",50000,NA,29.5,"4-2 (under)",-1.36923076923077,26,39,32.9027400503536,48.0972599496464,"W",65,0.00882,0,0,0,0,0,0,0,0.00882,0.02716,0.06634,0.1237,0.23502,0.53384,0.00512,0
"Portland Trail Blazers",3500,NA,46.5,"3-3 (under)",-1.60606060606061,29,37,35.5655651564734,44.4344348435266,"W",66,0.0973,0,0,0,0,0,0,2e-05,0.09728,0.1648,0.22384,0.22254,0.18496,0.1063,0.00026,0
"Sacramento Kings",15000,NA,37.5,"1-5 (under)",-1.921875,28,36,35.1780320514361,44.8219679485639,"W",64,0.07142,0,0,0,0,0,0,4e-05,0.07138,0.13614,0.20108,0.23056,0.22112,0.13928,4e-04,0
"San Antonio Spurs",6000,NA,46.5,"4-1 (under)",-1.76190476190476,27,36,34.8198109354615,45.1801890645385,"W",63,0.05402,0,0,0,0,0,0,0,0.05402,0.1082,0.17632,0.22618,0.25564,0.17904,6e-04,0
"Utah Jazz",1300,NA,53.5,"4-2 (under)",3.171875,41,23,49.7359001504824,29.2640998495176,"W",64,1,2e-05,0.0239,0.1559,0.2226,0.2289,0.20828,0.1602,2e-04,0,0,0,0,0,0,0
